[TRACE] 23:03:29:688 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 10
[TRACE] 23:03:29:688 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 10

[TRACE] 23:03:29:788 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 11
[TRACE] 23:03:29:789 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 11

[TRACE] 23:03:30:472 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:03:31:88 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 3
[TRACE] 23:03:31:88 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 3

[TRACE] 23:03:31:189 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 4
[TRACE] 23:03:31:189 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 4

[TRACE] 23:03:31:291 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 5
[TRACE] 23:03:31:291 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 5

[TRACE] 23:03:32:590 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 12
[TRACE] 23:03:32:590 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 12

[TRACE] 23:03:32:691 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 13
[TRACE] 23:03:32:691 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 13

[TRACE] 23:03:32:791 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 14
[TRACE] 23:03:32:791 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 14

[TRACE] 23:03:34:95 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 6
[TRACE] 23:03:34:95 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 6

[TRACE] 23:03:34:196 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 7
[TRACE] 23:03:34:196 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 7

[TRACE] 23:03:34:297 nivel4/(10013:10013): Personaje a mover &, posicionX 60 posicionY 8
[TRACE] 23:03:34:297 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 8

[TRACE] 23:03:35:595 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 15
